,0
2343,934.7000119999999
2344,906.650024
2345,909.7299800000001
2346,890.349976
2347,870.26001
2348,871.7899779999999
2349,842.6199949999999
2350,843.73999
2351,850.1199949999999
2352,805.219971
2353,840.23999
2354,827.5
2355,831.950012
2356,836.570007
2357,845.7100220000001
2358,874.090027
2359,845.1400150000001
2360,825.880005
2361,825.4400019999999
2362,838.51001
2363,832.22998
2364,845.849976
2365,868.599976
2366,869.8900150000001
2367,827.159973
2368,833.73999
2369,835.1900019999999
2370,826.840027
2371,789.169983
2372,788.419983
2373,778.9400019999999
2374,770.049988
2375,743.330017
2376,773.1400150000001
2377,764.900024
2378,752.830017
2379,735.090027
2380,700.820007
2381,696.330017
2382,712.869995
2383,682.549988
2384,683.380005
2385,676.530029
2386,719.599976
2387,721.3599849999999
2388,750.73999
2389,756.549988
2390,753.8900150000001
2391,778.119995
2392,794.349976
2393,784.039978
2394,768.539978
2395,822.919983
2396,806.119995
2397,813.880005
2398,832.8599849999999
2399,815.9400019999999
2400,787.530029
2401,797.869995
2402,811.080017
2403,834.380005
2404,842.5
2405,835.47998
2406,815.549988
2407,825.159973
2408,856.5599980000001
2409,858.7299800000001
2410,841.5
2411,852.0599980000001
2412,865.2999880000001
2413,869.599976
2414,832.3900150000001
2415,850.080017
2416,843.5499880000001
2417,851.919983
2418,866.2299800000001
2419,857.51001
2420,855.159973
2421,873.6400150000001
2422,872.8099980000001
2423,877.5200199999999
2424,907.23999
2425,903.7999880000001
2426,919.5300289999999
2427,907.3900150000001
2428,929.2299800000001
